City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,domoni,-12.2569,44.5319,24.11,80,0,2.73,KM,1667590553
235,ostrovnoy,68.0531,39.5131,2.53,96,100,6.04,RU,1667590553
236,georgetown,5.4112,100.3354,26.8,90,20,1.54,MY,1667590554
237,salalah,17.0151,54.0924,25.05,69,0,2.06,OM,1667590554
238,almaznyy,48.0448,40.045,3.54,92,99,1.18,RU,1667590554
239,bakchar,57.0186,82.0711,-2.0,78,100,3.18,RU,1667590555
240,grindavik,63.8424,-22.4338,7.26,87,75,9.26,IS,1667590555
241,tura,25.5198,90.2201,18.19,87,0,1.79,IN,1667590556
242,torbay,47.6666,-52.7314,10.43,74,40,2.57,CA,1667590541
243,damphu,27.0721,90.1096,13.77,67,0,2.55,BT,1667590556
244,mogocha,53.7333,119.7667,-13.41,96,26,0.81,RU,1667590556
245,chuy,-33.6971,-53.4616,17.28,61,0,5.26,UY,1667590557
246,touros,-5.1989,-35.4608,26.91,75,79,4.09,BR,1667590557
247,tombouctou,20.0,-3.0,25.62,14,0,2.22,ML,1667590557
248,teguldet,57.3064,88.1667,-7.37,97,55,0.94,RU,1667590558
249,vao,-22.6667,167.4833,24.19,84,34,9.52,NC,1667590558
250,te anau,-45.4167,167.7167,8.52,72,21,1.83,NZ,1667590559
251,shenzhen,22.5455,114.0683,22.3,97,96,2.9,CN,1667590362
252,lashio,22.9333,97.75,14.23,86,76,0.68,MM,1667590559
253,cugir,45.8333,23.3667,11.08,72,100,1.64,RO,1667590560
254,dikson,73.5069,80.5464,-4.86,97,100,1.9,RU,1667590560
255,orel-izumrud,43.4583,39.9244,11.01,93,100,3.0,RU,1667590560
256,kaniama,-7.5667,24.1833,19.58,96,100,1.32,CD,1667590561
257,suntar,62.1444,117.6319,-9.12,92,100,3.72,RU,1667590561
258,mayo,38.8876,-76.5119,25.07,76,75,0.89,US,1667590562
259,constitucion,-35.3333,-72.4167,14.39,67,100,3.33,CL,1667590562
260,vila franca do campo,37.7167,-25.4333,21.78,94,96,2.84,PT,1667590563
261,sivaki,52.6333,126.75,-10.34,76,29,5.73,RU,1667590563
262,shaowu,27.3409,117.4831,14.04,97,100,0.57,CN,1667590564
263,northam,51.0333,-4.2167,10.7,78,100,3.8,GB,1667590564
264,asau,46.4333,26.4,9.6,77,98,1.39,RO,1667590564
265,najran,17.4924,44.1277,22.36,33,2,0.88,SA,1667590565
266,mega,4.05,38.3,16.4,77,98,3.46,ET,1667590565
267,mahajanga,-15.7167,46.3167,26.01,83,40,3.09,MG,1667590566
268,acapulco,16.8634,-99.8901,28.9,74,0,5.66,MX,1667590368
269,zyryanskoye,56.8306,86.6258,-4.9,88,13,2.14,RU,1667590566
270,trat,12.5,102.5,27.71,71,94,2.31,TH,1667590567
271,nanortalik,60.1432,-45.2371,1.8,71,97,5.12,GL,1667590567
272,hualmay,-11.0964,-77.6139,20.35,69,8,5.38,PE,1667590568
273,comodoro rivadavia,-45.8667,-67.5,26.92,16,0,3.6,AR,1667590568
274,pevek,69.7008,170.3133,-24.7,93,9,1.81,RU,1667590569
275,saldanha,-33.0117,17.9442,16.03,94,33,4.95,ZA,1667590569
276,flin flon,54.7682,-101.865,-5.09,86,100,4.63,CA,1667590570
277,norman wells,65.282,-126.8329,-12.98,78,75,4.12,CA,1667590570
278,okhotsk,59.3833,143.3,-3.64,64,100,7.83,RU,1667590570
279,lima,-12.0432,-77.0282,19.14,60,0,7.2,PE,1667590276
280,la ronge,55.1001,-105.2842,-4.86,80,100,4.63,CA,1667590571
281,belfast,54.5833,-5.9333,9.33,93,75,3.6,GB,1667590572
282,ternate,0.8,127.4,27.03,80,98,1.11,ID,1667590572
283,aranos,-24.1333,19.1167,24.23,5,0,6.84,NA,1667590573
284,port hardy,50.6996,-127.4199,5.1,100,100,3.6,CA,1667590573
285,sao felix do xingu,-6.6447,-51.995,24.03,91,99,1.63,BR,1667590573
286,pingliang,35.5392,106.6861,5.31,86,6,1.17,CN,1667590574
287,linhares,-19.3911,-40.0722,20.14,67,98,4.91,BR,1667590322
288,hay river,60.8156,-115.7999,-8.01,86,100,7.72,CA,1667590575
289,margate,51.3813,1.3862,9.83,77,4,1.79,GB,1667590575
290,claresholm,50.0333,-113.5852,3.95,52,23,8.75,CA,1667590481
